                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.64391,                0.66126,                 1.0834,                0.84404,                0.65744,                0.69923,                0.51295,                 1.2163,                 1.3202,                 1.5542,             0.00036324,             0.00036324,             0.00036324
                     81,                0.59693,                0.59331,                 1.0694,                0.75141,                0.71429,                0.70966,                0.49735,                 1.2483,                 1.3409,                 1.5752,             0.00034674,             0.00034674,             0.00034674
                     82,                0.60219,                0.64597,                 1.0635,                0.78508,                0.69643,                0.72086,                 0.5317,                 1.2265,                 1.2907,                 1.5496,             0.00033023,             0.00033023,             0.00033023
                     83,                0.61121,                0.63965,                 1.0782,                0.76269,                0.68701,                0.71555,                0.53406,                 1.2079,                 1.3002,                 1.5229,             0.00031373,             0.00031373,             0.00031373
                     84,                0.63582,                 0.6478,                 1.0598,                0.71866,                0.68128,                0.71127,                0.53752,                 1.1839,                 1.3574,                 1.5185,             0.00029723,             0.00029723,             0.00029723
                     85,                  0.584,                0.61977,                  1.066,                0.67757,                0.73054,                 0.7032,                0.53112,                  1.228,                  1.392,                 1.5449,             0.00028072,             0.00028072,             0.00028072
                     86,                0.63491,                0.64793,                 1.0899,                0.69338,                0.73046,                0.69889,                0.51904,                 1.2362,                 1.3824,                 1.5493,             0.00026422,             0.00026422,             0.00026422
                     87,                0.64002,                0.63812,                 1.0884,                0.74266,                0.65546,                0.69084,                0.51264,                 1.2112,                 1.3788,                 1.5203,             0.00024772,             0.00024772,             0.00024772
                     88,                0.61732,                0.64478,                 1.0947,                 0.7828,                0.68487,                0.68139,                0.50832,                  1.212,                 1.3945,                 1.5449,             0.00023121,             0.00023121,             0.00023121
                     89,                0.55454,                0.56374,                 1.0408,                0.86505,                0.68051,                0.68365,                0.50551,                 1.2259,                 1.4037,                 1.5639,             0.00021471,             0.00021471,             0.00021471
                     90,                0.56563,                0.60227,                 1.0331,                0.84186,                0.68487,                0.68868,                0.51819,                 1.1963,                 1.3413,                 1.5455,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.4591,                0.68736,                 1.0003,                0.87162,                0.63761,                0.68375,                0.50761,                 1.1809,                  1.337,                 1.5467,              0.0001817,              0.0001817,              0.0001817
                     92,                0.43353,                0.53191,                 0.9739,                0.66636,                 0.7068,                0.68054,                0.52578,                 1.1612,                 1.3934,                 1.5518,              0.0001652,              0.0001652,              0.0001652
                     93,                0.43141,                 0.4989,                0.96217,                0.65704,                0.69536,                0.68826,                0.52141,                 1.1857,                 1.5015,                 1.5812,              0.0001487,              0.0001487,              0.0001487
                     94,                0.40843,                0.48799,                0.98405,                0.66245,                0.72568,                0.69977,                0.53897,                 1.1783,                 1.4131,                 1.5824,             0.00013219,             0.00013219,             0.00013219
                     95,                0.39589,                0.42113,                0.96503,                0.73685,                0.71429,                0.69337,                0.53207,                 1.1561,                 1.3508,                 1.5687,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.4364,                0.43504,                0.98161,                0.75615,                0.71429,                0.68677,                0.54224,                 1.1321,                 1.2978,                 1.5567,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.39951,                0.47249,                0.96871,                0.81316,                 0.6902,                0.68879,                0.54532,                  1.114,                 1.2925,                 1.5281,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.4339,                0.43514,                0.97286,                0.79478,                0.71071,                0.69607,                0.55551,                 1.1075,                 1.2876,                   1.53,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.39688,                0.44729,                0.94893,                0.91982,                0.67465,                0.69879,                0.55723,                 1.1133,                 1.2959,                 1.5352,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.38569,                0.40183,                0.95169,                 0.7962,                0.71429,                 0.6883,                0.54767,                 1.1034,                 1.2943,                 1.5218,             3.3173e-05,             3.3173e-05,             3.3173e-05
